unique_key,created_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,council_district,bbl,borough,latitude,longitude
65732639,2025-08-01T13:28:06.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10017.0,5 AVENUE,5 AVENUE,4.0,,MANHATTAN,40.75478269679495,-73.97993524527216
61453010,2024-06-11T17:58:34.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Temperature,Bad Food-Improper Temperature,Mobile Food Vendor,10003.0,253 1 AVENUE,1 AVENUE,2.0,1009210036.0,MANHATTAN,40.731836938452446,-73.9820854105702
60727159,2024-03-30T16:54:45.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10458.0,327 EAST FORDHAM ROAD,EAST FORDHAM ROAD,15.0,2032930001.0,BRONX,40.862087127515586,-73.8937552497528
53113061,2022-01-19T12:06:45.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Garbage,Garbage Improperly Stored,Mobile Food Vendor,11106.0,31-15 BROADWAY,BROADWAY,22.0,4006130001.0,QUEENS,40.76188550447098,-73.92517960640929
65875347,2025-08-17T19:24:10.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,11369.0,94-00 DITMARS BOULEVARD,DITMARS BOULEVARD,21.0,4010710001.0,QUEENS,40.76919359400341,-73.87609431847574
61308889,2024-05-29T06:53:50.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Equipment,Dirty Equipment/Utensils,Mobile Food Vendor,11201.0,108 WASHINGTON STREET,WASHINGTON STREET,33.0,3000450008.0,BROOKLYN,40.70084129444496,-73.98973230152957
62878652,2024-10-26T17:42:38.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Smoke/Odor,From Unit Creating Nuisance,Mobile Food Vendor,11355.0,FRANKLIN AVENUE,FRANKLIN AVENUE,20.0,,QUEENS,40.75425229313665,-73.82782480359295
62718261,2024-10-10T05:27:44.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10281.0,230 VESEY STREET,VESEY STREET,1.0,1000160150.0,MANHATTAN,40.71449589369315,-74.01560490453926
59427060,2023-11-14T13:12:09.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,10022.0,674 LEXINGTON AVENUE,LEXINGTON AVENUE,4.0,1013100059.0,MANHATTAN,40.76011899663558,-73.96973260492139
34330842,2016-09-15T14:13:15.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Ice Cream Truck/Cart,Park,11421.0,,,32.0,,QUEENS,,
60964675,2024-04-24T15:06:18.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10310.0,1126 FOREST AVENUE,FOREST AVENUE,50.0,5003520038.0,STATEN ISLAND,40.62678016969558,-74.12740590005733
65837386,2025-08-12T21:26:58.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10022.0,969 2 AVENUE,2 AVENUE,4.0,1013250024.0,MANHATTAN,40.75574886726393,-73.96790097960738
61778957,2024-07-12T07:12:36.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10007.0,189 BROADWAY,BROADWAY,1.0,1000630013.0,MANHATTAN,40.710255892218875,-74.00961988741942
59578482,2023-11-26T21:11:13.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Smoke/Odor,From Unit Creating Nuisance,Mobile Food Vendor,10025.0,601 WEST  115 STREET,WEST  115 STREET,7.0,1018960065.0,MANHATTAN,40.80742301620198,-73.96457082955617
63451233,2024-12-18T09:14:36.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10022.0,68 EAST   51 STREET,EAST   51 STREET,4.0,,MANHATTAN,40.758108199679256,-73.9742599549877
61537855,2024-06-19T12:40:20.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,11416.0,74-02 101 AVENUE,101 AVENUE,32.0,4090760001.0,QUEENS,40.67938962126931,-73.86317378393736
59958737,2024-01-08T10:59:15.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,10461.0,1727 CROSBY AVENUE,CROSBY AVENUE,13.0,2041690027.0,BRONX,40.84587416718606,-73.83152731999957
66733728,2025-11-05T17:43:19.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10021.0,945 MADISON AVENUE,MADISON AVENUE,4.0,1013890050.0,MANHATTAN,40.77345685197347,-73.96419897382451
39962435,2018-08-09T22:22:03.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Permit/License/Certificate,Unlicensed/Unpermitted Vendor,Green Cart Vendor,11201.0,81 COURT STREET,COURT STREET,33.0,3002690027.0,BROOKLYN,40.6915037376325,-73.99148264580296
